,Name,Price,Cpu,Ram,Rom
0,N/A,39.990.000₫,N/A,N/A,N/A
1,Laptop Dell Inspiron 16 5620 i7 1255U/8GB/512GB/OfficeHS/Win11 (N6I7110W1),24.990.000₫,i7 1255U 1.7GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
2,Laptop HP Pavilion X360 14 ek0134TU i5 1235U/8GB/512GB/Touch/Pen/Win11 (7C0P8PA),18.490.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 (Onboard) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
3,Laptop HP Envy X360 13 bf0090TU i7 1250U/16GB/512GB/Touch/Pen/Win11 (76B13PA),27.990.000₫ *,i7 1250U 1.1GHz,16 GB LPDDR4 (Onboard) 4267 MHz,512 GB SSD NVMe PCIe
4,Laptop HP EliteBook 630 G9 i7 1255U/16GB/512GB/Win11 (6M146PA),24.190.000₫ *,i7 1255U 1.7GHz,16 GB DDR4 2 khe (1 khe 16 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
5,Laptop Asus Zenbook 14 OLED UX3402ZA i5 1240P/8GB/512GB/90Hz/Cáp/Túi/Win11 (KM220W),20.990.000₫ *,i5 1240P 1.7GHz,8 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe
6,Laptop Asus Zenbook 14 Flip OLED UP3404VA i7 1360P/16GB/512GB/Touch/Pen/Cáp/Túi/Win11 (KN039W),30.990.000₫ *,i7 1360P 2.2GHz,16 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe Gen 4.0
7,N/A,41.990.000₫,N/A,N/A,N/A
8,Laptop Dell XPS 17 9710 i7 11800H/16GB/1TB SSD/4GB RTX3050/Touch/Cáp/Office H&S/Win11 (XPS7I7001W1),71.490.000₫,i7 11800H 2.30 GHz,16 GB DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB) 3200 MHz,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2 TB)"
9,Laptop HP Envy 16 h0205TX i9 12900H/32GB/512GB/6GB RTX3060/Touch/Win11 (7C0T2PA),58.990.000₫ *,i9 12900H 2.5GHz,32 GB DDR5 2 khe (1 khe 16 GB + 1 khe 16 GB) 4800 MHz,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng
10,Laptop Asus Gaming ROG Flow Z13 GZ301VU i9 13900H/16GB/1TB/6GB RTX4050/165Hz/Touch/Pen/Túi/Win11 (MU301W),53.990.000₫ *,i9 13900H 2.6GHz,16 GB LPDDR5 (Onboard) 5200 MHz,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB) 1 TB SSD NVMe PCIe Gen 4
11,Laptop LG gram 2023 i7 1360P/16GB/1TB/Win11 (17Z90R-G.AH78A5),50.990.000₫,i7 1360P 2.2GHz,16 GB LPDDR5 (Onboard) 6000 MHz,1 TB SSD NVMe PCIe Gen 4 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
12,Laptop Lenovo ThinkPad X1 Carbon Gen 10 i7 1260P/16GB/512GB/Touch/Win11 (21CB00A8VN),48.490.000₫,i7 1260P 2.1GHz,16 GB LPDDR5 (Onboard) 5200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)"
13,Laptop HP Elitebook Dragonfly G3 i7 1255U/16GB/1TB SSD/Touch/Win11 Pro (6Z980PA),47.490.000₫ *,i7 1255U 1.7GHz,16 GB LPDDR5 (Onboard) 4800 MHz,1 TB SSD
14,Laptop LG gram 2023 i7 1360P/16GB/512GB/Win11 (16Z90R-G.AH76A5),46.990.000₫,i7 1360P 2.2GHz,16 GB LPDDR5 (Onboard) 6000 MHz,512 GB SSD NVMe PCIe Gen 4.0 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
15,Laptop Asus Vivobook Pro 16 OLED K6602VV i9 13900H/16GB/1TB/8GB RTX4060/Win11 (MX077W),45.490.000₫ *,i9 13900H 2.6GHz,16 GB DDR5 2 khe (1 khe 8 GB onboard + 1 khe 8 GB) 4800 MHz,1 TB SSD NVMe PCIe Gen 4
16,Laptop HP Elitebook X360 1040 G9 i7 1255U/16GB/512GB/Touch/Pen/Win11 Pro (6Z982PA),45.090.000₫ *,i7 1255U 1.7GHz,16 GB DDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe
17,Laptop Surface Pro 9 i7 1255U/16GB/256GB/Touch/120Hz/Win11,44.990.000₫,i7 1255U 1.7GHz,16 GB LPDDR5 (Onboard) 4800 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
18,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/32GB/1TB/Túi/Win11 (NQ126W),41.490.000₫ *,i7 1355U 1.7GHz,32 GB LPDDR5 (Onboard) 5500 MHz,1 TB SSD NVMe PCIe Gen 4
19,Laptop LG gram 2023 i7 1360P/16GB/512GB/Win11 (14Z90R-G.AH75A5),38.990.000₫,i7 1360P 2.2GHz,16 GB LPDDR5 (Onboard) 6000 MHz,512 GB SSD NVMe PCIe Gen 4.0 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
20,Laptop LG gram Style 2023 i5 1340P/16GB/512GB/90Hz/Win11 (14Z90RS-G.AH54A5),38.990.000₫,i5 1340P 1.9GHz,16 GB LPDDR5 (Onboard) 6000 MHz,512 GB SSD NVMe PCIe Gen 4.0 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
21,MacBook Air 15'' 8GB/256GB MacBook Air 15'' 16GB/256GB MacBook Air 15'' 8GB/512GB,N/A,Apple M2 100GB/s,8 GB,256 GB SSD
22,MacBook Air 15'' 8GB/256GB MacBook Air 15'' 16GB/256GB MacBook Air 15'' 8GB/512GB,N/A,Apple M2 100GB/s,8 GB,256 GB SSD
23,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/16GB/512GB/Túi/Win11 (NQ125W),36.990.000₫ *,i7 1355U 1.7GHz,16 GB LPDDR5 (Onboard) 5500 MHz,512 GB SSD NVMe PCIe Gen 4.0
24,Laptop Lenovo Yoga Duet 7 13ITL6 i7 1165G7/16GB/1TB/Touch/Pen/Win11 (82MA009PVN),36.490.000₫,i7 1165G7 2.8GHz,16 GB DDR4 (Onboard) 3200 MHz,1 TB SSD
25,Laptop Asus Vivobook Pro 15 OLED K6502VU i5 13500H/16GB/512GB/6GB RTX4050/Win11 (MA089W),35.490.000₫ *,i5 13500H 2.6GHz,16 GB DDR5 2 khe (1 khe 8 GB onboard + 1 khe 8 GB) 4800 MHz,512 GB SSD NVMe PCIe Gen 4.0
26,Laptop Apple MacBook Pro 13 inch M1 2020 8-core CPU/16GB/512GB/8-core GPU (Z11C),34.990.000₫,Apple M1,16 GB,512 GB SSD
27,Laptop LG gram 2023 i5 1340P/16GB/256GB/Win11 (14Z90R-G.AH53A5),32.490.000₫,i5 1340P 1.9GHz,16 GB LPDDR5 (Onboard) 6000 MHz,256 GB SSD NVMe PCIe Gen 4 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
28,MacBook Air 15'' 8GB/256GB MacBook Air 15'' 16GB/256GB MacBook Air 15'' 8GB/512GB,N/A,Apple M2 100GB/s,8 GB,256 GB SSD
29,Laptop Asus Zenbook 14 OLED UX3402VA i7 1360P/16GB/512GB/Cáp/Túi/Win11 (KM068W),29.490.000₫,i7 1360P 2.2GHz,16 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe Gen 4.0
30,Laptop Lenovo Yoga Slim 7 Pro 14IAH7 i7 12700H/16GB/512GB/Win11 (82UT006CVN),30.990.000₫,i7 12700H 2.30 GHz,16 GB LPDDR5 (Onboard) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))"
31,N/A,29.990.000₫,N/A,N/A,N/A
32,Laptop Lenovo Yoga Slim 7 Carbon 13ITL5 i7 1165G7/16GB/1TB/Win11 (82EV00AWVN),29.740.000₫ *,i7 1165G7 2.8GHz,16 GB LPDDR4X (Onboard) 4266 MHz,1 TB SSD M.2 PCIe
33,Laptop MSI Summit E14 Flip Evo A12MT i7 1280P/16GB/512GB/Touch/Pen/Túi/Win11 (210VN),27.990.000₫ *,i7 1280P 1.8GHz,16 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe Gen 4.0
34,Laptop Lenovo Yoga Duet 7 13ITL6 i5 1135G7/8GB/512GB/Touch/Pen/Win11 (82MA009NVN),28.490.000₫,i5 1135G7 2.4GHz,8 GB DDR4 (Onboard) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
35,Laptop Asus Zenbook 14 Flip OLED UP3404VA i5 1340P/16GB/512GB/Touch/Pen/Cáp/Túi/Win11 (KN038W),28.490.000₫ *,i5 1340P 1.9GHz,16 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe Gen 4.0
36,Laptop Lenovo ThinkPad E15 Gen 4 i7 1260P/16GB/512GB/Win11 (21E600CPVN),27.690.000₫,i7 1260P 2.1GHz,16 GB DDR4 2 khe (8 GB onboard+ 1 khe 8 GB) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)"
37,Laptop Asus Vivobook Pro 15 OLED K6502Z i7 12650H/16GB/512GB/4GB RTX3050/Win11 (MA036W),26.990.000₫ *,i7 12650H 2.30 GHz,16 GB DDR4 2 khe (1 khe 16 GB onboard + 1 khe rời) 3200 MHz,512 GB SSD NVMe PCIe
38,Laptop Asus Zenbook 14 OLED UX3402ZA i7 1260P/16GB/512GB/Cáp/Win11 (KM221W),26.490.000₫ *,i7 1260P 2.1GHz,16 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe
39,Laptop Lenovo Yoga 7 14IAL7 i5 1240P/16GB/512GB/Touch/Pen/Win11 (82QE000RVN),26.340.000₫ *,i5 1240P 1.7GHz,16 GB LPDDR5 (Onboard) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
40,Laptop Asus Zenbook 14 OLED UX3402VA i5 1340P/16GB/512GB/Cáp/Túi/Win11 (KM085W),25.490.000₫ *,i5 1340P 1.9GHz,16 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe Gen 4.0
41,Laptop Lenovo Yoga Slim 7 Carbon 13ITL5 i5 1135G7/16GB/512GB/Win11 (82EV00AVVN),24.640.000₫ *,i5 1135G7 2.4GHz,16 GB LPDDR4X (Onboard) 4266 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
42,Laptop HP Envy X360 13 bf0095TU i5 1230U/16GB/512GB/Touch/Pen/Win11 (76B15PA),24.590.000₫ *,i5 1230U 1.00 GHz,16 GB LPDDR4X (Onboard) 4266 MHz,512 GB SSD NVMe PCIe
43,Laptop HP Envy X360 13 bf0112TU i5 1230U/16GB/512GB/Touch/Pen/Win11 (7C0N9PA),24.590.000₫,i5 1230U 1.00 GHz,16 GB LPDDR4X (Onboard) 4266 MHz,512 GB SSD NVMe PCIe
44,Laptop MSI Summit E14 Evo A12M i7 1280P/16GB/512GB/Túi/Chuột/Win11 (211VN),23.290.000₫ *,i7 1280P 1.8GHz,16 GB LPDDR5 (Onboard) 4800 MHz,512 GB SSD NVMe PCIe Gen 4.0
45,Laptop HP Pavilion X360 14 ek0132TU i7 1255U/16GB/512GB/Touch/Pen/Win11 (7C0W4PA),23.990.000₫ *,i7 1255U 1.7GHz,16 GB DDR4 (Onboard) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
46,Laptop Asus Vivobook Pro 15 OLED K6502Z i5 12450H/16GB/512GB/4GB RTX3050/120Hz/Win11 (MA025W),23.490.000₫ *,i5 12450H 2GHz,16 GB DDR4 2 khe (1 khe 16 GB onboard + 1 khe rời) 3200 MHz,512 GB SSD NVMe PCIe
47,Laptop Asus ExpertBook B5402CB i5 1240P/16GB/512GB/Win11 (KI0353W),23.490.000₫ *,i5 1240P 1.7GHz,16 GB DDR5 2 khe (1 khe 8 GB onboard + 1 khe 8 GB) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)"
48,Laptop HP Pavilion X360 14 ek1049TU i5 1335U/16GB/512GB/Touch/Pen/Win11 (80R27PA),21.990.000₫ *,i5 1335U 1.3GHz,16 GB DDR4 (Onboard) 3200 MHz,512 GB SSD NVMe PCIe
49,Laptop HP Pavilion X360 14 ek1048TU i5 1335U/8GB/512GB/Touch/Pen/Win11 (80R26PA),20.590.000₫ *,i5 1335U 1.3GHz,8 GB DDR4 (Onboard) 3200 MHz,512 GB SSD NVMe PCIe
50,Laptop HP Elitebook 630 G9 i5 1235U/8GB/512GB/Win11 (6M143PA),19.590.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,512 GB SSD NVMe PCIe
