,Name,Price,Cpu,Ram,Rom
0,N/A,39.990.000₫,N/A,N/A,N/A
1,Laptop Acer Aspire 7 Gaming A715 42G R05G R5 5500U/8GB/512GB/4GB GTX1650/144Hz/Win11 (NH.QAYSV.007),14.990.000₫ *,Ryzen 5 5500U 2.1GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Không hỗ trợ khe cắm HDD Không hỗ trợ khe cắm SSD M2 mở rộng thêm"
2,N/A,29.890.000₫,N/A,N/A,N/A
3,Laptop Dell Vostro 3510 i5 1135G7/8GB/512GB/2GB MX350/OfficeHS/Win11 (P112F002BBL),22.990.000₫,i5 1135G7 2.4GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230)) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)"
4,Laptop Acer Nitro 5 Gaming AN515 45 R6EV R5 5600H/8GB/512GB/144Hz/4GB GTX1650/Win11 (NH.QBMSV.006),16.990.000₫ *,Ryzen 5 5600H 3.3GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)"
5,Laptop Acer Nitro 5 Gaming AN515 57 5669 i5 11400H/8GB/512GB/144Hz/4GB GTX1650/Win11 (NH.QEHSV.001),17.990.000₫ *,i5 11400H 2.7GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)"
6,Laptop Asus Gaming ROG Strix G15 G513IH R7 4800H/8GB/512GB/4GB GTX1650/144Hz/Win11 (HN015W),17.990.000₫ *,Ryzen 7 4800H 2.9GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)"
7,Laptop HP Pavilion 15 eg2035TX i5 1235U/8GB/512GB/2GB MX550/Win11 (6K781PA),18.090.000₫ *,i5 1235U 1.3GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
8,Laptop Asus Gaming TUF Dash F15 FX517ZE i5 12450H/8GB/512GB/4GB RTX3050Ti/144Hz/Win11 (HN045W),21.990.000₫ *,i5 12450H 2GHz,8 GB DDR5 2 khe (1 khe 8 GB + 1 khe trống) 4800 MHz,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng
9,Laptop Lenovo Ideapad Gaming 3 15IAH7 i5 12500H/8GB/512GB/4GB RTX3050/120Hz/Win11 (82S9007TVN),17.990.000₫ *,i5 12500H 2.5GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
10,Laptop Lenovo Legion 5 15IAH7 i5 12500H/8GB/512GB/4GB RTX3050Ti/165Hz/Win11 (82RC003WVN),23.490.000₫ *,i5 12500H 2.5GHz,8 GB DDR5 2 khe (1 khe 8 GB + 1 khe trống) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))"
11,Laptop Dell Gaming G15 5511 i5 11400H/8GB/256GB/4GB RTX3050/120Hz/OfficeHS/Win11 (70266676),27.490.000₫,i5 11400H 2.7GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 512 GB (2230))"
12,Laptop MSI Gaming GF63 Thin 12VE i5 12450H/8GB/512GB/6GB RTX4050/144Hz/Win11 (460VN),20.990.000₫ *,i5 12450H 2GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,512 GB SSD NVMe PCIe Gen 4.0 Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng
13,Laptop Asus Gaming TUF Dash F15 FX517ZC i5 12450H/8GB/512GB/4GB RTX3050/144Hz/Win11 (HN077W),20.790.000₫ *,i5 12450H 2GHz,8 GB DDR5 2 khe (1 khe 8 GB + 1 khe trống) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)"
14,Laptop Asus Gaming ROG Strix SCAR 15 G533ZM i7 12700H/16GB/512GB/6GB RTX3060/240Hz/Balo/Win11 (LN2210W),35.990.000₫ *,i7 12700H 2.30 GHz,16 GB DDR5 2 khe (1 khe 16 GB + 1 khe rời) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2 TB)"
15,N/A,41.990.000₫,N/A,N/A,N/A
16,Laptop Asus Gaming ROG Strix SCAR 18 G834JY i9 13980HX/64GB/2TB/16GB RTX4090/240Hz/Balo/Chuột/Win11(N6039W),118.000.000₫ *,i9 13980HX 2.2GHz,64 GB DDR5 2 khe (1 khe 32 GB + 1 khe 32 GB) 4800 MHz,2 TB SSD
17,Laptop Asus Gaming ROG Strix SCAR 17 G733PZ R9 7945HX/32GB/1TB/12GB RTX4080/240Hz/Balo/Chuột/Win11 (LL980W),79.500.000₫ *,Ryzen 9 7945HX 2.5GHz,32 GB DDR5 2 khe (1 khe 16 GB + 1 khe 16 GB) 4800 MHz,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB) 1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)"
18,Laptop Asus Gaming ROG Zephyrus M16 GU604VI i9 13900H/32GB/1TB/8GB RTX4070/240Hz/Balo/Win11 (NM779W),75.990.000₫ *,i9 13900H 2.6GHz,32 GB DDR5 2 khe (1 khe 16 GB + 1 khe 16 GB) 4800 MHz,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB) 1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)"
19,Laptop Dell XPS 17 9710 i7 11800H/16GB/1TB SSD/4GB RTX3050/Touch/Cáp/Office H&S/Win11 (XPS7I7001W1),71.490.000₫,i7 11800H 2.30 GHz,16 GB DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB) 3200 MHz,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2 TB)"
20,Laptop Dell Gaming Alienware m15 R6 i7 11800H/32GB/1TB SSD/6GB RTX3060/165Hz/Office H&S/Win11 (P109F001DBL),61.990.000₫,i7 11800H 2.30 GHz,32 GB DDR4 2 khe (1 khe 16 GB + 1 khe 16 GB) 3200 MHz,"1 TB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB M.2 2280 PCIe Gen 4 x 4 NVMe / 1 TB M.2 2280 PCIe Gen 3 x 4 NVMe) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)"
21,Laptop HP Envy 16 h0205TX i9 12900H/32GB/512GB/6GB RTX3060/Touch/Win11 (7C0T2PA),58.990.000₫ *,i9 12900H 2.5GHz,32 GB DDR5 2 khe (1 khe 16 GB + 1 khe 16 GB) 4800 MHz,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng
22,Laptop Asus Gaming ROG Strix G16 G614JI i7 13650HX/16GB/1TB/8GB RTX4070/240Hz/Balo/Win11 (N4084W),56.990.000₫ *,i7 13650HX 2.6GHz,16 GB DDR5 2 khe (1 khe 16 GB + 1 khe rời) 4800 MHz,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB) 1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)"
23,Laptop HP Omen 16 n0085AX R9 6900HX/32GB/1TB SSD/8GB RTX3070Ti/165Hz/Win11 (7C144PA),56.690.000₫ *,Ryzen 9 6900HX 3.3GHz,32 GB DDR5 2 khe (1 khe 16 GB + 1 khe 16 GB) 4800 MHz,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng 1 TB SSD
24,Laptop Asus Gaming ROG Flow Z13 GZ301VU i9 13900H/16GB/1TB/6GB RTX4050/165Hz/Touch/Pen/Túi/Win11 (MU301W),53.990.000₫ *,i9 13900H 2.6GHz,16 GB LPDDR5 (Onboard) 5200 MHz,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB) 1 TB SSD NVMe PCIe Gen 4
25,Laptop LG gram 2023 i7 1360P/16GB/1TB/Win11 (17Z90R-G.AH78A5),50.990.000₫,i7 1360P 2.2GHz,16 GB LPDDR5 (Onboard) 6000 MHz,1 TB SSD NVMe PCIe Gen 4 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
26,Laptop HP Elitebook Dragonfly G3 i7 1255U/16GB/1TB SSD/Touch/Win11 Pro (6Z980PA),47.490.000₫ *,i7 1255U 1.7GHz,16 GB LPDDR5 (Onboard) 4800 MHz,1 TB SSD
27,Laptop LG gram 2023 i7 1360P/16GB/512GB/Win11 (16Z90R-G.AH76A5),46.990.000₫,i7 1360P 2.2GHz,16 GB LPDDR5 (Onboard) 6000 MHz,512 GB SSD NVMe PCIe Gen 4.0 Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng
28,Laptop HP Omen 16 n0087AX R7 6800H/16GB/1TB SSD/6GB RTX3060/165Hz/Win11 (7C0T7PA),45.790.000₫ *,Ryzen 7 6800H 3.2GHz,16 GB DDR5 2 khe (1 khe 8 GB + 1 khe 8 GB) 4800 MHz,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng 1 TB SSD
29,Laptop Asus Vivobook Pro 16 OLED K6602VV i9 13900H/16GB/1TB/8GB RTX4060/Win11 (MX077W),45.490.000₫ *,i9 13900H 2.6GHz,16 GB DDR5 2 khe (1 khe 8 GB onboard + 1 khe 8 GB) 4800 MHz,1 TB SSD NVMe PCIe Gen 4
30,Laptop Asus Gaming ROG Strix G17 G713RW R9 6900HX/32GB/1TB/8GB RTX3070Ti/240Hz/Balo/Win11 (LL178W),44.490.000₫ *,Ryzen 9 6900HX 3.3GHz,32 GB DDR5 2 khe (1 khe 16 GB + 1 khe 16 GB) 4800 MHz,1 TB SSD
31,Laptop Acer Gaming Predator Helios Neo 16 PHN16 71 74BA i7 13700HX/16GB/512GB/8GB RTX4060/165Hz/Win11 (NH.QLUSV.004),42.990.000₫,i7 13700HX 2.1GHz,16 GB DDR5 2 khe (1 khe 8 GB + 1 khe 8 GB) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2 TB)"
32,Laptop Asus Gaming ROG Zephyrus G16 GU603VU i7 13620H/16GB/512GB/6GB RTX4050/165Hz/Win11 (N3898W),41.490.000₫ *,i7 13620H 2.4GHz,16 GB DDR4 2 khe (1 khe 16 GB onboard + 1 khe rời) 3200 MHz,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB) 512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)"
33,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/32GB/1TB/Túi/Win11 (NQ126W),41.490.000₫ *,i7 1355U 1.7GHz,32 GB LPDDR5 (Onboard) 5500 MHz,1 TB SSD NVMe PCIe Gen 4
34,Laptop Asus TUF Gaming F15 FX507VV4 i9 13900H/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP382W),39.990.000₫ *,i9 13900H 2.6GHz,16 GB DDR4 2 khe (1 khe 8 GB + 1 khe 8 GB) 3200 MHz,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB) 512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)"
