,Name,Price,Cpu,Ram,Rom
0,N/A,18.390.000₫,N/A,N/A,N/A
1,Laptop HP 240 G8 i3 1115G4/8GB/256GB/Win11 (6L1A1PA),9.790.000₫ *,i3 1115G4 3GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
2,Laptop Acer Aspire 3 A315 57 379K i3 1005G1/4GB/256GB/Win11 (NX.KAGSV.001),7.990.000₫ *,i3 1005G1 1.2GHz,4 GB DDR4 (Onboard 4 GB +1 khe rời) Từ 2400 MHz (Hãng công bố),"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)"
3,Laptop HP 15s fq2716TU i3 1115G4/8GB/512GB/Win11 (7C0X3PA),10.490.000₫ *,i3 1115G4 3GHz,8 GB DDR4 2 khe (1 khe 8 GB + 1 khe rời) 3200 MHz,512 GB SSD NVMe PCIe
4,Laptop itel SPIRIT 1 i3 8109U/4GB/256GB/Win11 (71006300035),4.990.000₫ *,i3 8109U 3GHz,4 GB DDR4 (Onboard 4 GB +1 khe rời) 2400 MHz,256 GB SSD M.2 SATA 3 (Có thể tháo ra lắp thanh khác tối đa 1 TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)
5,Laptop Acer Aspire 3 A315 58 54XF i5 1135G7/8GB/512GB/Win11 (NX.AM0SV.007),12.490.000₫ *,i5 1135G7 2.4GHz,8 GB DDR4 (Onboard 4 GB + 1 khe 4 GB) Từ 2400 MHz (Hãng công bố),"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)"
6,Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA),16.990.000₫ *,i5 1240P 1.7GHz,8 GB DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB) 3200 MHz,512 GB SSD NVMe PCIe
7,Laptop Lenovo Ideapad 3 15IAU7 i3 1215U/8GB/256GB/Win11 (82RK005LVN),9.490.000₫ *,i3 1215U 1.2GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
8,N/A,27.390.000₫,N/A,N/A,N/A
9,Laptop Lenovo IdeaPad 1 15AMN7 R5 7520U/8GB/256GB/Win11 (82VG0061VN),10.490.000₫ *,Ryzen 5 7520U 2.8GHz,8 GB LPDDR5 (Onboard) 5500 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
10,N/A,,N/A,N/A,N/A
11,Laptop Acer Aspire 3 A315 58 589K i5 1135G7/8GB/256GB/Win11 (NX.AM0SV.008),11.490.000₫ *,i5 1135G7 2.4GHz,8 GB DDR4 (Onboard 4 GB + 1 khe 4 GB) Từ 2400 MHz (Hãng công bố),"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)"
12,N/A,,N/A,N/A,N/A
13,N/A,29.590.000₫,N/A,N/A,N/A
14,N/A,,N/A,N/A,N/A
15,Laptop Lenovo ThinkBook 14 G3 ACL R5 5500U/8GB/512GB/Win11 (21A200R0VN),12.990.000₫,Ryzen 5 5500U 2.1GHz,8 GB DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242)) Hỗ trợ khe cắm SSD M.2 SATA3 (nâng cấp tối đa 1 TB)"
