,Name,Price,Cpu,Ram,Rom
0,N/A,18.390.000₫,N/A,N/A,N/A
1,N/A,27.390.000₫,N/A,N/A,N/A
2,Laptop Lenovo IdeaPad Slim 5 Light 14ABR8 R5 7530U/16GB/512GB/Win11 (82XS002KVN),15.490.000₫ *,Ryzen 5 7530U 2GHz,16 GB DDR4 (Onboard) 3200 MHz,512 GB SSD NVMe PCIe Gen 4.0
3,Laptop Acer Swift 3 SF314 512 56QN i5 1240P/16GB/512GB/Win11 (NX.K0FSV.002),18.490.000₫ *,i5 1240P 1.7GHz,16 GB LPDDR4X (Onboard) 4267 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
4,Laptop HP EliteBook 630 G9 i7 1255U/16GB/512GB/Win11 (6M146PA),24.190.000₫ *,i7 1255U 1.7GHz,16 GB DDR4 2 khe (1 khe 16 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
5,Laptop Asus Gaming ROG Flow Z13 GZ301VU i9 13900H/16GB/1TB/6GB RTX4050/165Hz/Touch/Pen/Túi/Win11 (MU301W),53.990.000₫ *,i9 13900H 2.6GHz,16 GB LPDDR5 (Onboard) 5200 MHz,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB) 1 TB SSD NVMe PCIe Gen 4
6,Laptop Lenovo ThinkPad X1 Carbon Gen 10 i7 1260P/16GB/512GB/Touch/Win11 (21CB00A8VN),48.490.000₫,i7 1260P 2.1GHz,16 GB LPDDR5 (Onboard) 5200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)"
7,Laptop HP Elitebook Dragonfly G3 i7 1255U/16GB/1TB SSD/Touch/Win11 Pro (6Z980PA),47.490.000₫ *,i7 1255U 1.7GHz,16 GB LPDDR5 (Onboard) 4800 MHz,1 TB SSD
8,Laptop Surface Pro 9 i7 1255U/16GB/256GB/Touch/120Hz/Win11,44.990.000₫,i7 1255U 1.7GHz,16 GB LPDDR5 (Onboard) 4800 MHz,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)"
9,Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/32GB/1TB/Túi/Win11 (NQ126W),41.490.000₫ *,i7 1355U 1.7GHz,32 GB LPDDR5 (Onboard) 5500 MHz,1 TB SSD NVMe PCIe Gen 4
10,N/A,37.990.000₫,N/A,N/A,N/A
