,Name,Price,OS,RAM,ROM,Links
0,Điện thoại Samsung Galaxy A14 6GB,4990000.0,Android 13,6 GB,128 GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a14
1,Điện thoại OPPO Find N2 Flip 5G,19990000.0,Android 13,8 GB,256 GB,https://www.thegioididong.com/dtdd/oppo-find-n2-flip
2,Điện thoại iPhone 14 Pro Max 128GB,26680000.0,iOS 16,6 GB,128 GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max
3,Điện thoại iPhone 14 Pro 128GB,24790000.0,iOS 16,6 GB,128 GB,https://www.thegioididong.com/dtdd/iphone-14-pro
4,Điện thoại Vivo Y36,6990000.0,Android 13,8 GB,256 GB,https://www.thegioididong.com/dtdd/vivo-y36
5,Điện thoại Samsung Galaxy A24 6GB,6490000.0,Android 13,6 GB,128 GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a24
6,Điện thoại Xiaomi Redmi 12C 64GB,2690000.0,Android 12,4 GB,64 GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-12c-64gb
7,Điện thoại Samsung Galaxy S21 FE 5G (6GB/128GB),12990000.0,Android 12,6 GB,128 GB,https://www.thegioididong.com/dtdd/samsung-galaxy-s21-fe-6gb
8,Điện thoại iPhone 11 64GB,10490000.0,iOS 15,4 GB,64 GB,https://www.thegioididong.com/dtdd/iphone-11
9,Điện thoại Xiaomi Redmi Note 12 (8GB/128GB),5790000.0,Android 13,8 GB,128 GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-12-4g
10,Điện thoại Vivo V27e,7990000.0,Android 13,8 GB,256 GB,https://www.thegioididong.com/dtdd/vivo-v27e
11,Điện thoại OPPO Reno8 T 5G 256GB,10990000.0,Android 13,8 GB,256 GB,https://www.thegioididong.com/dtdd/oppo-reno8-t-5g-256gb
12,Điện thoại realme C55 6GB,4190000.0,Android 13,6 GB,128 GB,https://www.thegioididong.com/dtdd/realme-c55
13,Điện thoại Samsung Galaxy S23 Ultra 5G 256GB,26990000.0,Android 13,8 GB,256 GB,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-ultra
14,Điện thoại Samsung Galaxy A34 5G 128GB,7490000.0,Android 13,8 GB,128 GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a34-5g-128gb
